,리뷰
0,"출시전부터 엄청 궁금해서 라이브 하기전에 일어나자마자 아침에 주문해서 당일에 받았어요 칼배송 개꿀😏

하이라이터는 2개 다 갖고싶어서 단품으로 하나 더 샀고 봄웜톤이라 블러셔는 피치피즈로 구매했어요. 오늘 아침 출근 메이크업할때 바로 개시했구요. 윈터픽이라더니 여리여리한 피치 컬러인데 너무 예뻐요🤭 한쪽은 베이스&포인트 컬러로 된 파우더, 오른쪽은 쉬머 젤리 제형이고 젤리 제형인데도 나름 밑색 잘 올라오면서 발색돼요. 증정용 브러쉬로 얼굴에 얹으면 좀 발색 약하긴하구요. 파우더쪽은 다 좋은데 배색이 애매하게 되있어서 양쪽 볼에 동일하게 바르게 좀 힘든거같아요ㅠ 섞기 나름인데 아예 베이스랑 포인트 반반 있으면 어땠을지.. 그리고 가루날림은 좀 심해요 ㅎㅎ,,

세트로 구매한 하이라이터는 씨쉘인데 역시 웜톤이 데일리로 바르기 너무 좋은거같아요. 너무 골드빛 돌면 어쩌나 고민했는데 노란빛 거의 안돌고 맑은 샴페인 컬러고요. 로즈 컬러가 마블로 섞여있어서 플래쉬 터뜨리니 묘하게 핑크펄도 살짝 보이네요. 얼굴에 얹으니 조명 아래에선 은은하게 반짝이니 좋고 일반 형광등 아래에서(사무실 같이...) 엄청 자연스럽게 한듯안한듯하게 보여요. 그래도 아워글래스 인캔디센트같은 하라보다는 좀 더 존재감 있어요. 디올 팔레트 같은 하라보다는 덜 화려하고요. 이러나저러나 데일리로 사용하기 넘 좋긴 할거같아요!"
1,"에스쁘아 제품력 좋다고 생각해서 일단 구매했어요.
아직 얼굴발색을 못해서 정확한 색감은 모르겠으나 일단 하이라이터 당장 써보고싶어짐. 투명한광? 너무알겠다.. 씨쉘이 걍 너무 이뻐버리세요. 챠르르한 광의 핑크 하이라이터 가지고싶어서 핑크마린도 샀는데 핑크인데? 약간 보라빛도 살짝 도는거같아보이고 그러네여. 쿨톤 찰떡일듯. 과하지않게 적당히 촉촉해서 얼굴에 얼마나 잘 올라갈지 기대됨..
치크같은 경우 하나만 사려다가 하이라이터 2개 사는김에 피치피즈랑 로제트 둘다 산건데, 생각보다 젤리제형이 쉬머한듯. 매트제형 중 포인트컬러가 생각보다 면적이 적어서 보통은 호다닥 섞어서 바르게 될 것 같음. 피치피즈의 경우는 매트제형 중 베이스 컬러가 좀 엥스러웠달까 섞어 쓰기 좋을수있지만 단독은 좀 손이 자주 갈 색은 아닌거같아요. 로제트는 잘쓰는 컬러군이긴한데, 제형이 참 좋은데 펄감이 익숙하지않아서 젤리제형은 좀 적응이 필요할듯. 제 기준 치크보다 아이제품에서 익숙한 펄감따리 호호..그래도 요리조리 조합하기 참 좋을듯.
(패키지 군더더기없어서 좋음. 근데 하이라이터하나만 조금 삐걱거려서 아숩...)"
2,"❤️
사진 속 블러셔와 하라 다 에스쁘아 제품ㅇㅇ
솔직히. 블러셔는. 그냥 그랬음.
치크광인이라 블러셔에 기대 267263818만큼 했는데 뭐랄까 미묘하게 좀 아쉬웠다.
빠지는 거 하나 없음.
색도 중명도 분홍이라 허옇게 안 뜨고 적당히 차분한 듯 뽀용한 듯 예쁨.
젤리 치크 쪽도 불그스름한 홍조색으로 잘 빠짐.
근데 왜 미묘하게 뭔가 부족하다 싶은 건지... 흠...
동봉된 브러쉬가 맘에 안 들어서 그런가 🤔
브러쉬 질은 믜친 거 아니야? 소리 나올 정도로 좋았으나 커팅이... 쓰읍...
🧡
아무튼 하이라이터는 정말 맘에 들었음.
예상 외로 어마무시하게 이쁘자너ㅋㅋ
광감 도랏슴ㄷㄷ 반사광 미치게 예뻐서 계에ㅔㅔ속 사진 찍음ㅋㅋㅋ
루돌프마냥 미친 발광을 뽐내는 코 끝을 보셈
진 주 그 자 체 (영롱✨️)
광대뼈에도 스윽 쓸어 발랐더니
ㅎF
고개 돌릴 때마다 아름다운 핑크빔이 나를 둘러쌈
(그리고 하라 브러쉬가 아주 부드럽게 피부를 쓸면서 하라 입자를 얇고 곱고 균일하게 싹 도포함. 이넘 진짜 메친넘이고 요물이다. 반드시 여러 개 가져야만.)
💛
하라 색도 적보라색이라 따끈한 느낌으로 나의 노란 피부색과 잘 어우러짐ㅠㅠ 넘예짱예;;
핑크빔 좌아ㅏㅏ앙 쏘는데 부담스럽지 않고 그냥 이쁨 🥹 나 감동 돼
💚
게다가 하라 사면 증정해 준 팬 브러쉬 퀄리티가 미치고 팔짝 뛸 수준으로 좋음.
뭐야? 왜 이래?
에스쁘아 제정신이면 이거 당장 돈 받고 파셈;;;
제발.
나 진심이야.
💙
이번에 같이 온 브러쉬들 전부 완성도 돌아버림...
우리 집 고양이보다 더 부드럽고 고운 털의 집합체라니까 🥺🫶🏻
블러셔 브러쉬도 컷팅만 좀 바꿔서 다시 내 주라...
하라 브러쉬도 꼭 팔아 주라...
이게 비매품이라는 사실을 되새길 때마다 나 눈앞이 깜깜해지고 갓썸을 쥐어뜯으며 울부짖는 늑대가 돼 🥲
제발 팔아 주라..."
3,"윈터 메컵이 너무 예뻐.. 구매 갈겨씀미다.. ㅋㅋ
저는 웜인데 핑크 메컵을 자주 하기도 하고
밝게 만들어서 올리기 때문도 있구 해서
핑크 아이싱 / 핑크 마린 으러 주문 했어요
다른컬러는 너무 노랗게 올라올까봐 ㅠ 그건 싫기두 하구.. 집에 비슷한 컬러도 많구
윈터 핑크 메이크업⍤⃝𓂭 예뻐서 이걸루 구매,,!
카메라가 깨져서 ㅠ 선명하진 않아요 
제일 왼쪽이 하라 / 두번째 세번째가 핑크 아이싱 임니당
피부 톤 밝게 깔구나서 메컵 해보려구요
우선은 어두운 팔에 올리니 예쁜 색감은 안 나와서.ㅎ
발림성은 너무 좋구 
사은품도 보내주셔서 감사함미당 
비싼감이 없지않아 있는데 우선 잘 사용해 보겠슴니당 😝"
4,"톤페어링 피치피즈
하이라이터 씨쉘

결론부터 에메한 색들 하이라이터는. 퀄리티가 너무 떨어진다 



치크가 반은 습식타입  반은 가루타입 
은은한 하이라이터 제형이고 반짝반짝 미세 한펄있어요
치크인데 오히려 은은한 페이스 하이라이트로 써도 될듯하고 내장된 브러쉬로 발색시  습식제형부분 색상은 안올라와요 반짝임만 발색되고
왼쪽색상 부분은 발색됩니다
가루날림. 적고 피치색이 소량만  분포되어서 
흰끼부분이 더 많아서 이건 좀 어중간합니다
핑크빛도 돌기도하고

*개인적으로
피치톤 찾는분이 쓰기에는  베이스색이 너무 많이. 분포되있어서  실제 사용시.다른 피치나 살구색 하나더 있어야할듯 

*이톤도 저톤도 아닌 피부쓰기에는 맞아요
브러쉬는 왼쪽 가루부분 발색시에만 색감올라옵니다
가격대비 조금 아쉬운 제품이네요

**하이라이터 씨쉘***
구운타입인가. 입자 건조합니다
촤르르 흐르는 쉬머제형
퀄리티가 떨어지는 제형이네요
이 하이라이터가 습식제형으로 나왔다면
뭉침있고 뜨기도 하네요 제형 특성상
색상은 아이보리 정도"
5,"와 진짜 처음에 무조건 하이라이터는 핑크마린, 블러셔는 비올레타만 주문하려다가 윈터가 핑크아이싱, 핑크마린으로 메이크업한 거 그리고 다른 후기들에서 씨쉘 극찬이 많아서 못 참고 다 질렀어요....저 원래 샴페인 색은 노란기 많이 도는 웜톤용이라 생각해서 별로 안 끌렸거든요 근디 실제로 받아보니 정말 예쁘게 피부색에 어우러질 수 있는데 화이트-아이보리 였습니다!
블러셔도 제가 겨울쿨톤 다크 베스트라 핑크아이싱이 둥둥 뜰 것 같아서 고민 많았는데 생각보다 흰기가 별로 없어서 저한테도 잘 어울렸어요
게다가 저는 오로라 컬러까지 타플랫폼 체험단으로 당첨돼서 하이라이터 3종을 다 쟁이게 된 사람이 되었습니다... 3개 가지고 싶었지만 최대 2개만 구매할 생각이었던 저에게 정말 큰 행운이 따라준 것 같아요ㅠㅠ
결론은 너무너무 만족스럽습니다! 돈이 하나도 안 아깝고 그만큼 실패한 게 없었어요 블러셔 젤리 마감으로 말이 많아서 걱정됐는데 저는 둘 다 문제 없는 걸로 잘 왔습니다 배송할 때 신경써서 보내주신 건가 했어요
실 결제가 79,000원대였는데 리뷰쓰면 14,000원 정도 네이버페이 포인트 돌려받게 돼서 65,000원에 저렇게 다 가졌다고 생각하면 좋은 소비라고 생각합니다 파우치 브러쉬 세트를 사은품으로 받게 돼서 기분 좋아요ㅎㅎ"
6,"하이라이터가 너무이뻐요!!
현재 디올 로즈골드를 가지고 있어서 하이라이터가 또 필요할까 심지어 용량도 이렇게 많은데... 했는데 베이크드 타입이라 해서 궁금했기도 하고 라방에서 세트가 많이 싸게 나와서 구매했어요
다른분들은 블러셔에 금가서 오셨다고 하는데 저는 다행히 무사히 도착했어요.
먼저 치크는 파우더타입은 평범한데 젤리타입이 진짜 광이 너무 예쁘게 차르르 돌아서 젤리타입 많이 사용할것같아요. 뽀용한 핑크계열 블러셔는 이미 많이 있어서 비올레타 구매했는데 나중에 핑크아이싱도 같이 구매할거같아요
원래 치크만 사려다가 하이라이터는 별 기대 안하고 같이 구입했는데 진짜 하이라이터가 더 물건인거같아요! 동봉된 브러쉬로 몇번 쓸었는데 이렇게 영롱한 핑크빔이 발사돼서 놀랬습니다... 저는 피부가 좀 어두운톤인데 맑고 화사한 피부톤 가지신 분들이 쓰면 더 예쁠것같아요. 빔이 너무 예쁘게 잘올라와서 나중에 씨쉘도 구매의사 있습니다!"
7,"너무 궁금해서 뜨자마자 구매했어요!! 진짜 후회없는 선택이네요. 하이라이터 진주빔 스타일에 존재감 있는 편이라 좋아요. 입자가 고와서 코 모공에 끼이는 거 없이 잘 발립니다. 처음에 하이라이터 브러쉬가 없어서 누락인가 했는데 상자 안에 같이 들어있었어요. ṑṑ
블러셔는 모공블러도 잘해주고 발색이 잘되서 좋아요. 다만 제 피부가 좀 어두운 편이라 그런지 젤리부분은 색감이 강한 편은 아니라 아쉬워요. 그래도 블러셔하고 그 위에 비슷한 느낌의 하이라이터 얹어주는 느낌으로 바르면 예쁩니다!
너무 기대한 만큼의 만족스러운 제품이에요!!"
8,"씨쉘을 구입하고 핑크마린은 고민하다 구매해봤는데 너무 이쁜 핑크빔입니다!!함께 구매했던 치크들도 색이 정말정말 이뻐요..젤 부분이 깨져오는 상황이 너무 많아 걱정했습니다만, 무사히 도착한 것 같습니다!
하이라이터들은 역시나 정말 이쁩니다!추천드려요!!(손등이 좀 타서,,좀 더 누런 점 이해해주세요!)"
9,"순서대로
하이라이터 시쉘 형태
하이라이터 볼록한 곳
하이라이터 일반 발색
블러셔 (왼쪽부터 연핑/진핑/젤리)

하이라이터 처음 왔을때 마감이 넘 아쉬웠어요 블러셔는 불량이 많다고 해서 걱정했는데 블러셔는 제대로 왔고 하이라이터 마감이.. 할인해서 사서 다행이지ㅠ 예뻐서 교환 없이 그냥 쓸것 같아요
하이라이터는 브러쉬로 발라도 예쁘고 손으로 발라도 예뻐요!
블러셔도 생각보다 덜 촌스러운 색깔이고, 젤리 블러셔가 보라펄과 블루펄이 모두 느껴져서 예뻤어요~ 이 젤리블러셔랑 하이라이터 살짝 섞어주면 예쁘더라고요~
블러셔 브러쉬는 생각보다 블러셔가 잘 파이고 조금 따가워서 다른 브러쉬로 쓸것 같아요.
둘 다 마음에 들게 예뻐서 세트로  사길 잘했다 생각들어요!"
